Tamanho_Cluster_n,Tempo_RoundRobin_ms,Tempo_HashingConsistente_ms
100,1.102540036663413,11.094840033911169
1000,1.3398600043728948,14.225829998031259
5000,1.2373099802061915,17.540669976733625
10000,1.2453499948605895,19.503970025107265
30000,1.2498999247327447,23.600840009748936
50000,1.2964700115844607,24.48258998338133
